,Workout start time,Workout end time,Duration (min),Activity Strain,Workout Max HR (bpm),Workout Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,Altitude gain (feet),Altitude change (feet),Distance (miles),Activity name_Inline Skating,Activity name_Manual Labor,Activity name_Motocross,Activity name_Obstacle Course Racing,Activity name_Wheelchair Pushing,Resting heart rate (bpm),Heart rate variability (ms),Blood oxygen %,Day Strain,Physiology Max HR (bpm),Physiology Average HR (bpm),Respiratory rate (rpm),Skin temp (fahrenheit),HR Zone Sum
689,2021-08-24 14:02:35,2021-08-24 15:42:27,99,5.2,135,92,32,8,0,0,0,4301,2,18,False,False,True,False,False,53,50,0,17,200,72,16.7,32,40
690,2021-08-21 20:29:56,2021-08-21 23:15:00,165,10.1,157,105,55,21,7,0,0,518,0,2,True,False,False,False,False,65,30,0,14,161,78,16.2,32,83
691,2021-08-20 20:55:00,2021-08-20 23:30:00,155,10.5,148,108,50,36,3,0,0,0,0,0,True,False,False,False,False,57,38,0,15,181,80,17.0,32,89
692,2021-08-20 13:37:02,2021-08-20 15:09:54,92,6.5,122,99,65,7,0,0,0,4386,-6,12,False,False,True,False,False,57,38,0,15,181,80,17.0,32,72
693,2021-08-18 11:18:33,2021-08-18 12:41:36,83,5.4,118,93,56,2,0,0,0,4258,16,9,False,False,True,False,False,55,38,0,6,125,67,17.5,32,58
694,2021-08-14 20:32:49,2021-08-14 23:11:24,158,11.8,155,113,40,47,8,0,0,543,0,2,True,False,False,False,False,60,34,0,13,155,75,16.0,32,95
696,2021-08-13 21:41:57,2021-08-14 00:40:35,178,12.0,154,109,40,31,9,0,0,866,5,0,True,False,False,False,False,56,37,0,15,159,77,17.3,32,80
697,2021-08-13 12:21:33,2021-08-13 15:57:21,215,4.6,116,82,12,0,0,0,0,9077,-8,10,False,False,True,False,False,56,37,0,15,159,77,17.3,32,12
698,2021-08-11 11:13:58,2021-08-11 12:43:37,89,5.8,115,95,59,0,0,0,0,4303,11,16,False,False,True,False,False,52,55,0,12,149,71,17.1,32,59
700,2021-08-07 20:37:55,2021-08-07 23:41:51,183,9.8,154,107,47,31,6,0,0,542,0,0,True,False,False,False,False,61,38,0,12,166,73,16.4,32,84
702,2021-08-06 20:56:52,2021-08-07 00:00:00,183,12.7,160,110,44,19,20,0,0,533,1,2,True,False,False,False,False,53,46,0,15,167,79,17.1,32,83
704,2021-08-06 12:03:54,2021-08-06 15:55:41,176,7.0,124,91,34,4,0,0,0,9155,3,12,False,False,True,False,False,53,46,0,15,167,79,17.1,32,38
706,2021-08-02 11:12:18,2021-08-02 12:35:08,82,4.4,113,87,33,0,0,0,0,4293,2,8,False,False,True,False,False,51,38,0,6,152,64,17.5,32,33
707,2021-07-31 20:34:13,2021-07-31 22:55:00,140,10.3,166,108,29,34,11,1,0,543,-1,3,True,False,False,False,False,62,27,0,13,193,71,16.8,32,75
708,2021-07-30 21:00:00,2021-07-31 00:00:00,180,9.8,142,105,50,31,3,0,0,0,0,0,True,False,False,False,False,54,35,0,14,175,80,15.4,32,84
710,2021-07-30 13:13:21,2021-07-30 16:22:34,189,7.4,129,98,52,10,0,0,0,9117,11,12,False,False,True,False,False,54,35,0,14,175,80,15.4,32,62
712,2021-07-27 11:13:05,2021-07-27 12:40:42,87,4.2,116,91,39,0,0,0,0,4392,-1,12,False,False,True,False,False,52,43,0,8,173,67,17.2,32,39
713,2021-07-25 20:49:13,2021-07-25 21:29:36,40,9.8,158,134,0,44,49,7,0,0,0,0,False,True,False,False,False,60,32,0,15,174,72,16.7,32,100
715,2021-07-24 22:19:06,2021-07-24 23:00:56,164,7.2,153,115,24,45,16,0,0,126,-72,0,True,False,False,False,False,60,38,0,15,171,77,16.2,32,85
717,2021-07-24 20:32:29,2021-07-24 22:18:00,105,12.6,171,123,26,43,27,4,0,0,0,0,True,False,False,False,False,60,38,0,15,171,77,16.2,32,100
719,2021-07-23 20:52:28,2021-07-23 23:51:50,179,10.4,150,104,48,28,2,0,0,576,0,0,True,False,False,False,False,53,42,0,16,172,79,16.9,32,78
721,2021-07-23 11:36:41,2021-07-23 14:36:03,179,7.9,135,97,51,9,0,0,0,7523,582,0,False,False,True,False,False,53,42,0,16,172,79,16.9,32,60
723,2021-07-17 20:37:07,2021-07-17 22:46:41,129,9.7,160,114,37,51,8,0,0,535,0,2,True,False,False,False,False,72,31,0,14,186,79,17.3,32,96
725,2021-07-16 20:53:21,2021-07-17 00:05:00,191,13.9,174,116,42,36,16,2,0,534,27,2,True,False,False,False,False,53,41,0,16,174,82,16.5,32,96
727,2021-07-16 12:01:16,2021-07-16 14:51:19,170,7.8,129,97,60,4,0,0,0,6861,586,18,False,False,True,False,False,53,41,0,16,174,82,16.5,32,64
729,2021-07-10 20:44:51,2021-07-10 23:06:13,141,11.9,160,113,36,40,15,0,0,544,1,2,True,False,False,False,False,69,26,0,15,190,77,17.0,32,91
730,2021-07-10 11:08:57,2021-07-10 11:37:19,28,11.1,190,145,1,25,38,22,14,0,0,0,False,True,False,False,False,69,26,0,15,190,77,17.0,32,100
731,2021-07-09 20:55:12,2021-07-09 23:46:00,170,12.0,149,113,51,42,6,0,0,470,25,3,True,False,False,False,False,53,36,0,17,173,87,16.2,32,99
733,2021-07-09 13:03:16,2021-07-09 16:01:36,178,11.6,132,111,52,47,0,0,0,7718,1450,30,False,False,True,False,False,53,36,0,17,173,87,16.2,32,99
735,2021-07-03 20:35:30,2021-07-03 23:11:23,155,9.3,163,113,49,35,11,1,0,530,0,0,True,False,False,False,False,69,33,0,9,163,75,15.9,32,96
737,2021-07-02 21:04:36,2021-07-03 00:02:00,177,11.0,154,115,41,45,11,0,0,535,2,0,True,False,False,False,False,53,51,0,15,180,78,14.6,32,97
739,2021-06-26 20:40:55,2021-06-26 23:08:25,147,11.5,169,112,48,33,9,2,0,530,2,3,True,False,False,False,False,72,39,0,13,169,80,17.0,32,92
741,2021-06-25 20:56:00,2021-06-25 23:47:00,171,11.1,161,111,41,49,4,0,0,0,0,0,True,False,False,False,False,59,40,0,14,161,82,16.8,32,94
743,2021-06-18 20:52:30,2021-06-18 23:53:27,180,9.4,147,106,57,26,5,0,0,564,2,0,True,False,False,False,False,56,40,0,11,165,76,17.4,32,88
745,2021-06-12 20:23:42,2021-06-12 22:56:00,152,12.4,159,115,35,45,13,0,0,490,0,3,True,False,False,False,False,0,0,0,13,159,78,,32,93
746,2021-06-11 20:56:39,2021-06-12 00:06:01,189,12.1,168,109,56,31,5,0,0,462,0,0,True,False,False,False,False,61,26,0,14,168,75,16.7,32,92
749,2021-06-05 20:35:27,2021-06-05 22:54:00,138,10.8,156,113,35,53,6,0,0,523,0,3,True,False,False,False,False,69,38,0,13,163,80,16.5,32,94
751,2021-06-04 20:55:00,2021-06-05 00:03:00,188,11.0,148,108,59,32,4,0,0,0,0,0,True,False,False,False,False,55,37,0,15,164,82,15.8,32,95
752,2021-05-29 20:31:27,2021-05-29 23:01:13,149,12.7,163,114,28,32,23,0,0,563,-1,1,True,False,False,False,False,67,29,0,13,163,79,16.6,32,83
753,2021-05-28 21:15:59,2021-05-28 23:55:00,159,13.2,159,118,32,46,20,0,0,558,-15,1,True,False,False,False,False,62,23,0,15,159,77,17.7,32,98
755,2021-05-22 20:44:46,2021-05-22 23:00:00,135,11.3,158,114,40,31,20,0,0,538,-2,3,True,False,False,False,False,71,57,0,13,158,80,17.6,32,91
756,2021-05-21 20:58:39,2021-05-21 23:45:00,166,12.6,170,112,45,29,13,3,0,0,0,0,True,False,False,False,False,55,39,0,14,170,79,16.5,32,90
757,2021-05-15 20:41:38,2021-05-15 23:20:00,158,11.4,167,110,38,32,9,2,0,546,1,2,True,False,False,False,False,61,21,0,12,167,75,15.2,32,81
758,2021-05-07 21:00:00,2021-05-07 23:58:00,178,12.9,186,113,55,30,12,0,0,0,0,0,True,False,False,False,False,52,38,0,14,186,73,16.5,32,97
759,2021-05-01 20:34:52,2021-05-01 23:00:00,145,10.0,160,109,26,37,12,0,0,522,1,4,True,False,False,False,False,69,37,0,11,160,78,15.9,32,75
761,2021-04-30 21:00:00,2021-05-01 00:00:00,180,14.5,175,120,30,45,17,6,0,520,-3,1,True,False,False,False,False,58,44,0,16,175,76,16.2,32,98
763,2021-04-24 20:42:13,2021-04-24 23:15:54,153,9.2,156,107,51,27,8,0,0,528,2,1,True,False,False,False,False,69,15,0,12,156,79,16.6,32,86
764,2021-04-23 21:01:06,2021-04-23 23:46:42,165,8.9,145,105,53,30,2,0,0,595,1,2,True,False,False,False,False,52,49,0,13,172,74,16.2,32,85
765,2021-04-17 20:31:57,2021-04-17 23:15:00,163,12.2,164,111,36,31,15,1,0,566,69,6,True,False,False,False,False,66,27,0,13,164,84,16.6,32,83
766,2021-04-15 22:00:30,2021-04-15 22:55:48,55,13.6,193,136,17,5,23,28,15,0,0,0,False,True,False,False,False,63,33,0,14,193,68,16.2,32,88
767,2021-04-10 20:28:04,2021-04-10 23:20:00,171,9.9,159,104,45,29,3,0,0,548,1,2,True,False,False,False,False,68,50,0,12,159,78,16.8,32,77
770,2021-04-09 21:00:00,2021-04-10 00:00:00,180,12.4,163,111,45,33,12,0,0,0,0,0,True,False,False,False,False,52,45,0,16,187,82,16.4,32,90
772,2021-04-03 20:29:06,2021-04-03 23:10:00,160,10.3,159,109,51,30,9,0,0,549,0,2,True,False,False,False,False,66,34,0,12,165,77,16.8,32,90
773,2021-04-02 21:00:00,2021-04-02 23:30:00,150,10.6,156,110,53,26,11,0,0,0,0,0,True,False,False,False,False,54,40,0,13,166,75,17.2,32,90
774,2021-03-27 20:53:36,2021-03-27 23:29:49,156,8.5,155,104,49,26,3,0,0,515,0,0,True,False,False,False,False,67,25,0,15,196,78,15.8,32,78
776,2021-03-26 21:00:00,2021-03-27 00:00:00,180,7.7,158,101,66,9,3,0,0,0,0,0,True,False,False,False,False,0,0,0,16,196,76,,32,78
778,2021-03-25 19:00:00,2021-03-25 21:20:00,140,9.0,153,106,51,36,4,0,0,0,0,0,True,False,False,False,False,61,26,0,12,153,81,17.3,32,91
780,2021-03-25 11:00:00,2021-03-25 15:20:00,176,5.6,136,85,18,6,0,0,0,0,0,0,False,False,True,False,False,61,26,0,12,153,81,17.3,32,24
782,2021-03-24 11:45:00,2021-03-24 14:05:00,140,4.3,115,81,23,0,0,0,0,0,0,0,False,False,True,False,False,0,0,0,5,122,70,,32,23
784,2021-03-23 12:37:00,2021-03-23 17:00:00,176,8.2,124,97,72,3,0,0,0,0,0,0,False,False,True,False,False,54,46,0,10,143,72,15.6,32,75
786,2021-03-22 14:04:00,2021-03-22 16:21:14,137,10.4,147,108,24,35,18,0,0,0,0,0,False,False,True,False,False,54,58,0,13,163,76,17.1,32,77
787,2021-03-20 20:41:00,2021-03-20 23:15:00,154,9.7,154,104,39,27,9,0,0,492,0,3,True,False,False,False,False,65,81,0,15,160,81,15.9,32,75
789,2021-03-19 20:55:00,2021-03-20 00:10:00,195,7.5,137,94,45,15,0,0,0,0,0,0,True,False,False,False,False,56,46,0,18,195,75,16.3,32,60
791,2021-03-17 18:12:24,2021-03-17 20:56:22,163,16.1,187,124,25,22,28,16,4,538,4,1,True,False,False,False,False,55,37,0,17,187,73,16.2,32,95
792,2021-03-13 20:49:14,2021-03-13 23:26:58,157,12.3,168,111,41,33,16,2,0,520,-1,1,True,False,False,False,False,62,74,0,16,168,84,14.5,32,92
794,2021-03-12 20:55:00,2021-03-12 23:15:00,140,7.3,151,94,29,19,3,0,0,0,0,0,True,False,False,False,False,52,50,0,15,162,73,16.0,32,51
795,2021-03-07 18:41:40,2021-03-07 19:20:10,38,9.6,169,131,5,36,44,14,0,0,0,0,False,True,False,False,False,61,30,0,11,169,73,14.8,32,99
796,2021-03-06 20:50:00,2021-03-06 22:50:00,120,10.7,166,107,47,22,10,5,0,0,0,0,True,False,False,False,False,57,26,0,14,166,82,15.9,32,84
797,2021-03-05 21:06:59,2021-03-05 23:55:32,168,11.5,157,106,48,25,12,1,0,542,-1,2,True,False,False,False,False,55,48,0,15,179,72,16.4,32,86
798,2021-02-27 20:37:55,2021-02-27 23:00:27,142,11.8,163,114,29,47,19,0,0,503,0,0,True,False,False,False,False,69,20,0,15,197,77,16.1,32,95
800,2021-02-26 20:50:21,2021-02-26 23:49:04,178,12.5,158,110,32,35,17,1,0,525,2,0,True,False,False,False,False,56,48,0,13,167,73,15.3,32,85
801,2021-02-20 20:30:00,2021-02-20 23:50:00,200,11.3,179,103,41,23,9,1,0,0,0,0,True,False,False,False,False,65,22,0,14,179,78,15.7,32,74
803,2021-02-20 13:25:48,2021-02-20 13:50:18,24,11.1,179,146,3,11,27,41,18,0,0,0,False,True,False,False,False,65,22,0,14,179,78,15.7,32,100
805,2021-02-19 20:58:00,2021-02-19 23:30:00,151,11.6,171,110,27,44,16,1,0,400,86,2,True,False,False,False,False,57,45,0,14,171,78,16.0,32,88
806,2021-02-18 23:57:35,2021-02-19 00:18:30,20,11.9,183,158,0,4,11,50,35,0,0,0,False,True,False,False,False,50,55,0,12,183,68,17.2,32,100
807,2021-02-14 20:30:00,2021-02-14 23:00:00,150,12.9,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,68,29,0,4,137,66,14.9,32,0
809,2021-02-13 20:34:21,2021-02-13 23:19:30,165,8.1,153,99,57,15,4,0,0,547,0,2,True,False,False,False,False,64,28,0,9,153,72,14.9,32,76
810,2021-02-12 20:57:05,2021-02-12 23:11:35,134,14.2,164,125,14,33,41,9,0,502,0,2,True,False,False,False,False,60,36,0,16,172,78,16.6,32,97
811,2021-02-09 21:24:46,2021-02-09 21:54:20,29,14.4,191,154,2,7,10,22,59,0,0,0,False,True,False,False,False,52,54,0,15,191,69,16.6,32,100
812,2021-02-05 20:54:15,2021-02-05 23:57:41,183,11.8,164,102,40,26,11,4,0,0,0,0,True,False,False,False,False,54,47,0,13,197,72,16.8,32,81
813,2021-01-30 20:42:04,2021-01-31 01:51:47,164,13.8,179,92,37,10,3,3,2,0,0,0,True,False,False,False,False,0,0,0,6,165,69,,32,55
814,2021-01-29 20:53:52,2021-01-29 23:45:22,171,14.8,168,114,24,38,18,13,1,0,0,0,True,False,False,False,False,58,36,0,15,171,77,15.6,32,94
815,2021-01-27 22:13:38,2021-01-27 22:47:25,33,14.0,189,146,0,16,29,9,46,0,0,0,False,True,False,False,False,51,50,0,13,189,65,17.2,32,100
816,2021-01-24 20:52:06,2021-01-24 21:27:15,35,13.4,190,138,4,37,18,14,27,0,0,0,False,True,False,False,False,56,44,0,12,190,67,17.0,32,100
817,2021-01-23 20:30:00,2021-01-23 23:15:00,165,10.0,150,106,47,38,6,0,0,0,0,0,True,False,False,False,False,72,25,0,12,189,74,16.5,32,91
819,2021-01-22 20:41:09,2021-01-22 23:32:29,171,13.5,161,113,25,39,28,5,0,0,0,0,True,False,False,False,False,54,44,0,14,167,75,16.6,32,97
820,2021-01-17 20:49:35,2021-01-17 23:34:44,165,11.7,160,110,41,33,17,0,0,490,0,1,True,False,False,False,False,64,28,0,13,181,71,16.1,32,91
822,2021-01-16 20:35:28,2021-01-16 22:47:58,132,11.0,153,112,38,42,16,0,0,500,0,2,True,False,False,False,False,73,34,0,12,156,76,16.5,32,96
824,2021-01-12 22:45:38,2021-01-12 23:32:19,46,16.1,189,155,10,4,2,32,51,0,0,0,False,True,False,False,False,55,43,0,16,189,71,17.3,32,99
825,2021-01-08 20:32:58,2021-01-09 00:24:59,164,12.9,168,104,21,31,18,3,0,0,0,0,True,False,False,False,False,54,40,0,16,190,76,14.7,32,73
826,2021-01-08 16:45:57,2021-01-08 17:11:31,25,13.2,190,156,0,9,19,28,44,0,0,0,False,True,False,False,False,54,40,0,16,190,76,14.7,32,100
827,2021-01-02 20:25:30,2021-01-02 22:55:34,150,8.7,160,101,45,20,14,2,0,0,0,0,True,False,False,False,False,68,41,0,13,183,74,15.6,32,81
829,2021-01-01 21:00:00,2021-01-01 23:15:00,135,11.5,156,112,21,53,21,3,0,0,0,0,True,False,False,False,False,66,17,0,13,171,76,16.1,32,98
831,2020-12-31 20:59:33,2020-12-31 22:47:59,108,10.7,155,110,24,51,22,1,0,0,0,0,True,False,False,False,False,54,42,0,15,163,77,17.1,32,98
